SY,GE,VEND,ITEM,VOL_EQ,FLAVOR/SCENT,FORM,PACKAGE,PRODUCT TYPE,SA BRAND,SA MARKET,SA PRIMARY MARKET,SPECIALITY NAME,STORE LOCATION,ADDITIVES,REFILL TYPE,SIZE,TYPE OF FORMULA,USER INFO,BRUSH HEAD SHAPE,COLOR,NUMBER OF TREATMENTS,TREATMENT,TYPE OF DENTAL ACCS,TYPE OF TOOTHPASTE,USAGE
0,1,33200,25390,0.375,COOL MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY TRTR CTL,ADULT & CHILD OVER 2,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,22355,0.45,COOL MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 2,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,22340,0.5,FRESH MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,MISSING,MISSING,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,22460,1.125,FRESH MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,MISSING,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,29780,0.375,FRESH MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLRD AND BAKING SODA,MISSING,MISSING,WHITENING ANTI CAVTY,ADULT & CHILD OVER 2,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,22470,1.125,FRESH MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,MISSING,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,11113,22060,0.5,MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,22060,0.5,MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,11113,2270,1.125,MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TRIPLE PACK,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,22305,1.125,MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TRIPLE PACK,ANTI CAVITY,ADULT,MISSING,WHITE,MISSING,MISSING,MISSING,MISSING,MISSING
