"","PANID","WEEK","brand_10158","brand_33200","brand_35000","brand_37000","brand_53100","brand_77326","Combined.Pre.Tax.Income.of.HH","MALE_SMOKE","FEM_SMOKE","LOYALTY.10158","LOYALTY.33200","LOYALTY.35000","LOYALTY.37000","LOYALTY.53100","LOYALTY.77326","LOYALTY.0","AVGRATE.0","DISPLAY.0","PRICEREDUCTION.0","FEATURE.0","AVGRATE.10158","DISPLAY.10158","PRICEREDUCTION.10158","FEATURE.10158","AVGRATE.33200","DISPLAY.33200","PRICEREDUCTION.33200","FEATURE.33200","AVGRATE.35000","DISPLAY.35000","PRICEREDUCTION.35000","FEATURE.35000","AVGRATE.37000","DISPLAY.37000","PRICEREDUCTION.37000","FEATURE.37000","AVGRATE.53100","DISPLAY.53100","PRICEREDUCTION.53100","FEATURE.53100","AVGRATE.77326","DISPLAY.77326","PRICEREDUCTION.77326","FEATURE.77326","choice","choiceLabel"
"37","1100479","1467",0,0,0,0,1,0,7,0,0,0,0,0.3,0,0.6,0,0.1,20.5830042537228,0,1,2,17.3105882352941,2,1,4,7.66619144190751,0,1,3,5.91538834623749,2,1,4,8.2987773416145,2,1,3,6.3386401212659,2,1,4,13.8153846153846,2,1,0,5,"53100"
"38","1100479","1468",0,0,1,0,0,0,7,0,0,0,0,0.3,0,0.6,0,0.1,20.4535241884724,0,0,0,22.36,2,0,0,4.96196026198747,2,1,2,8.90982458914091,1,1,4,7.69038698791448,1,1,3,5.92512540976536,0,1,4,13.8153846153846,0,0,0,3,"35000"
"39","1100479","1468",0,0,1,0,0,0,7,0,0,0,0,0.3,0,0.6,0,0.1,20.4535241884724,0,0,0,22.36,2,0,0,4.96196026198747,2,1,2,8.90982458914091,1,1,4,7.69038698791448,1,1,3,5.92512540976536,0,1,4,13.8153846153846,0,0,0,3,"35000"
"40","1100479","1468",0,0,1,0,0,0,7,0,0,0,0,0.3,0,0.6,0,0.1,20.4535241884724,0,0,0,22.36,2,0,0,4.96196026198747,2,1,2,8.90982458914091,1,1,4,7.69038698791448,1,1,3,5.92512540976536,0,1,4,13.8153846153846,0,0,0,3,"35000"
"41","1100479","1468",0,0,1,0,0,0,7,0,0,0,0,0.3,0,0.6,0,0.1,20.4535241884724,0,0,0,22.36,2,0,0,4.96196026198747,2,1,2,8.90982458914091,1,1,4,7.69038698791448,1,1,3,5.92512540976536,0,1,4,13.8153846153846,0,0,0,3,"35000"
"42","1100479","1478",0,0,0,0,1,0,7,0,0,0,0,0.3,0,0.6,0,0.1,18.570692282445,0,0,0,22.71,0,0,0,6.08493086306295,1,1,0,6.33754982595045,2,1,2,9.06514033547469,0,1,2,6.17384615384615,2,1,2,14.0000620515804,0,0,0,5,"53100"
"43","1100479","1478",0,0,0,0,1,0,7,0,0,0,0,0.3,0,0.6,0,0.1,18.570692282445,0,0,0,22.71,0,0,0,6.08493086306295,1,1,0,6.33754982595045,2,1,2,9.06514033547469,0,1,2,6.17384615384615,2,1,2,14.0000620515804,0,0,0,5,"53100"
"44","1100479","1478",0,0,0,0,1,0,7,0,0,0,0,0.3,0,0.6,0,0.1,18.570692282445,0,0,0,22.71,0,0,0,6.08493086306295,1,1,0,6.33754982595045,2,1,2,9.06514033547469,0,1,2,6.17384615384615,2,1,2,14.0000620515804,0,0,0,5,"53100"
"45","1100479","1478",0,0,0,0,1,0,7,0,0,0,0,0.3,0,0.6,0,0.1,18.570692282445,0,0,0,22.71,0,0,0,6.08493086306295,1,1,0,6.33754982595045,2,1,2,9.06514033547469,0,1,2,6.17384615384615,2,1,2,14.0000620515804,0,0,0,5,"53100"
"46","1100503","1439",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.4870812192321,0,1,0,20.9418181818182,0,1,0,8.51901329032928,0,0,0,8.32674388637958,2,1,3,8.56798937804554,2,1,3,6.85177262388196,0,1,3,14.2479972104798,1,1,0,3,"35000"
"47","1100503","1447",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,18.4091139843322,0,1,4,19.9511111111111,0,1,2,9.42731343843612,0,1,0,7.61656965864275,2,1,3,6.14346360747189,2,1,3,5.40251461769866,0,1,3,5.91304347826087,0,1,0,3,"35000"
"48","1100503","1451",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,3,"35000"
"49","1100503","1451",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,3,"35000"
"50","1100503","1451",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,3,"35000"
"51","1100503","1451",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,3,"35000"
"52","1100503","1451",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,3,"35000"
"53","1100503","1451",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,3,"35000"
"54","1100503","1451",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,3,"35000"
"55","1100503","1451",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,3,"35000"
"56","1100503","1451",0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,3,"35000"
"57","1100560","1445",0,0,0,0,0,1,8,0,0,0,0.5,0,0,0,0.5,0,19.6707634065637,0,0,0,19.0727272727273,2,1,2,10.8478610603291,0,1,0,8.01088288390648,0,1,3,6.58633572714133,1,1,3,6.09580157257318,1,1,0,16.1953846153846,0,0,0,6,"77326"
"58","1100560","1466",0,1,0,0,0,0,8,0,0,0,0.5,0,0,0,0.5,0,19.4692656092305,0,0,0,22.6213333333333,2,1,0,7.33250842815537,0,0,0,9.1428728425247,2,1,3,7.83210374161461,2,1,4,8.18693534726144,0,1,0,13.3066666666667,0,0,0,2,"33200"
"59","1100750","1473",0,0,0,0,1,0,6,1,1,0,0,0,0,1,0,0,19.5835664677318,0,1,0,22.2044444444444,0,0,0,5.78375941170738,2,1,0,7.07809078892924,0,1,2,8.25014652822591,2,1,4,6.18796536796537,0,1,0,5.97333333333333,1,1,3,5,"53100"
"60","1100784","1431",1,0,0,0,0,0,1,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,17.902607178403,0,0,0,21.6266666666667,0,1,4,9.4657964217469,1,1,0,5.64214369384996,2,1,4,7.53280896418598,1,1,2,8.03251807057556,0,1,3,11.0736224101669,0,1,2,1,"10158"
"61","1100784","1450",0,0,0,1,0,0,1,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,18.5951585884604,2,0,2,21.212,0,1,2,8.73515613940713,2,1,2,7.97735718127644,0,1,4,8.29407268723336,2,1,4,4.67589338432636,2,1,3,13.2800744618965,1,0,0,4,"37000"
"62","1100784","1466",0,0,1,0,0,0,1,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,19.4692656092305,0,0,0,22.6213333333333,2,1,0,7.33250842815537,0,0,0,9.1428728425247,2,1,3,7.83210374161461,2,1,4,8.18693534726144,0,1,0,13.3066666666667,0,0,0,3,"35000"
"63","1101055","1429",0,0,1,0,0,0,10,0,0,0,0,0.6,0,0.4,0,0,17.0735675671621,0,0,0,20.690303030303,0,1,2,5.29686284937985,1,1,2,6.7060582255433,2,1,3,8.46398008884509,2,1,3,8.37476310083876,0,1,0,14.0940170940171,0,0,0,3,"35000"
"64","1101055","1435",0,0,0,0,1,0,10,0,0,0,0,0.6,0,0.4,0,0,17.8726664276744,0,0,0,22.76,0,0,0,6.65383749512223,2,1,2,7.27480450796994,2,1,3,8.06835404930552,2,1,3,5.51706741556357,1,1,0,13.469089713433,0,0,0,5,"53100"
"65","1101055","1444",0,0,1,0,0,0,10,0,0,0,0,0.6,0,0.4,0,0,19.873829707711,0,0,0,22.2266666666667,0,1,3,10.5839111117571,1,1,2,7.87510267789308,2,1,3,8.02743946265466,0,1,3,6.40950085314306,1,1,0,14.5825641025641,0,0,0,3,"35000"
"66","1101055","1451",0,0,0,0,1,0,10,0,0,0,0,0.6,0,0.4,0,0,17.1012636211484,0,1,0,22.6866666666667,0,0,0,5.49701726630498,0,1,2,5.26522737164039,2,1,3,7.81629421489067,2,1,4,7.07624084249084,0,1,0,10.4747840873495,1,1,2,5,"53100"
"67","1101055","1453",0,0,1,0,0,0,10,0,0,0,0,0.6,0,0.4,0,0,17.0529455016726,0,0,0,21.16,0,0,0,8.59150496664426,0,0,0,4.6353689579005,1,1,3,7.62392730130308,2,1,3,7.83890670553936,1,1,2,13.3148717948718,0,1,0,3,"35000"
"68","1101055","1462",0,0,0,0,1,0,10,0,0,0,0,0.6,0,0.4,0,0,18.5899524051716,0,0,0,22.3066666666667,0,0,0,7.80513244732871,2,1,3,5.9820413470645,2,1,3,7.70723359012661,2,1,3,7.24440661047028,0,1,0,13.3066666666667,0,0,0,5,"53100"
"69","1101055","1463",0,0,0,0,1,0,10,0,0,0,0,0.6,0,0.4,0,0,18.6788412940605,0,0,0,18.7028571428571,0,1,2,9.54685702805102,2,0,0,6.18732807386176,2,1,4,6.80558702885824,2,1,3,6.50602254428341,0,1,4,14.5670284154473,1,1,0,5,"53100"
"70","1101055","1464",0,0,1,0,0,0,10,0,0,0,0,0.6,0,0.4,0,0,18.9992222464414,0,1,0,20.5314285714286,0,1,3,10.4171856414204,2,1,3,7.11245722796557,2,1,3,7.35020990817491,2,1,3,4.86797078674948,1,1,0,11.9733333333333,2,0,0,3,"35000"
"71","1101055","1469",0,0,1,0,0,0,10,0,0,0,0,0.6,0,0.4,0,0,20.4535241884724,0,0,0,20.2509090909091,0,1,2,1.94447321986956,2,1,2,7.96186820724429,2,1,2,7.64526529541076,2,1,2,7.64398927159797,2,1,3,7.69230769230769,0,1,0,3,"35000"
